phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
青冥,4,0.006299212598425197,0.00012419583198787848,0.918152810494382,0.006279298880845947,0.0007636939886590985,52,0.003395,460.5,528.5,488.0,461.0,468.0,481.2
尘土,4,0.006299212598425197,0.0003527161628455749,0.9088636255239576,0.00350046735138361,0.0007748200853625663,62,0.004048,460.5,459.0,500.0,527.0,463.0,481.9
故国,4,0.006299212598425197,0.0003378126630070295,0.9080350586644844,0.0032983012172969617,0.0007734840875282638,110,0.007182,460.5,463.5,501.0,530.0,464.0,483.8
落叶,3,0.004724409448818898,0.000536525994187635,0.9006565027083911,0.0052943417543940266,0.0007059869235649975,67,0.004375,513.5,416.0,512.0,486.0,492.0,483.9
归路,3,0.004724409448818898,0.0,0.9563075043797717,0.01072912243881015,0.0006045090683638246,78,0.005093,513.5,601.0,421.0,361.0,529.0,485.1
故乡,3,0.004724409448818898,0.00019374549790109044,0.9594911132325954,0.006091534700210159,0.0005925543766199717,134,0.008749,513.5,501.5,415.0,466.0,534.0,486.0
门前,4,0.006299212598425197,0.00020864899773963586,0.8576704527842218,0.004730671769218693,0.0008718183573746266,141,0.009206,460.5,494.5,557.0,498.0,422.0,486.4
山中,3,0.004724409448818898,0.00017387416478302988,0.9206993768178847,0.007718667482789077,0.0006702644161118942,101,0.006594,513.5,507.5,481.0,428.0,502.0,486.4
猿啼,4,0.006299212598425197,0.0001639384982239996,0.9060353531798718,0.004942155240117143,0.0007634986453717203,38,0.002481,460.5,510.5,504.0,495.0,469.0,487.8
消息,3,0.004724409448818898,0.00014406716510593904,0.9074045137158478,0.008622506895818713,0.0006660589080591107,124,0.008096,513.5,519.0,502.0,399.0,506.0,487.9
前程,4,0.006299212598425197,0.00028316649693236294,0.8975670350060332,0.002896293104508178,0.000814716703521386,49,0.003199,460.5,474.0,515.0,547.0,445.0,488.3
佳人,3,0.004724409448818898,9.438883231078765e-05,0.9496078638441896,0.008127118233535452,0.00057416228015276,92,0.006007,513.5,537.5,436.0,413.0,544.0,488.8
山路,3,0.004724409448818898,0.0004967833279515139,0.8970054538030473,0.003124638316807825,0.0007996237345038081,39,0.002546,513.5,426.0,516.0,538.0,456.0,489.9
道士,3,0.004724409448818898,0.0008743386571946646,0.8485503987703134,0.0034169456578897403,0.0007473087199291914,44,0.002873,513.5,369.5,564.0,529.0,477.0,490.6
重阳,4,0.006299212598425197,0.0001887776646215753,0.8745212409365514,0.0027217190276924447,0.000936864423144472,40,0.002612,460.5,504.5,544.0,551.0,401.0,492.2
