社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
2,丈夫,44,70,308.6,47.24044069993519,6
2,人生,43,79,265.6,46.765060240963855,7
2,长安,42,111,16.1,104.11180124223603,8
2,咸阳,42,85,204.4,46.89236790606654,9
2,走马,41,104,55.2,59.11594202898551,10
2,古来,41,74,251.0,44.984063745019924,11
2,他人,41,69,330.2,44.02846759539673,12
2,红尘,40,77,242.9,44.11692054343351,13
2,意气,40,78,268.2,43.72856077554064,14
2,白首,39,96,69.8,53.326647564469916,15
2,单于,39,82,234.9,43.2571306939123,16
2,英雄,39,61,501.3,40.99481348493916,17
2,黄金,38,75,339.5,40.94550810014728,18
2,世上,38,68,372.8,40.682403433476395,19
2,路难,38,66,447.6,40.23413762287757,20
2,将军,38,60,492.2,40.031694433157256,21
2,感激,38,56,564.9,39.77022481855196,22
2,相识,37,94,82.7,49.091898428053206,23
2,颜色,37,88,142.3,44.02740688685875,24
2,路傍,37,81,275.1,40.63504180298074,25
2,行路,37,65,474.6,39.10703750526759,26
2,今日,36,101,36.9,63.10027100271003,27
2,汉家,36,75,289.9,39.4494653328734,28
2,风尘,36,69,363.1,38.754062241806665,29
2,封侯,36,74,375.7,38.66169816342827,30
2,干戈,36,65,401.9,38.48818113958696,31
2,子孙,36,54,524.3,37.907304978065994,32
2,蹉跎,35,86,152.9,41.540222367560496,33
2,白发,35,83,153.7,41.506180871828235,34
2,等闲,35,80,220.8,39.528985507246375,35
2,九衢,35,78,268.5,38.7243947858473,36
2,天地,35,54,545.9,36.83183733284484,37
2,浮云,34,89,93.0,44.75268817204301,38
2,朱门,34,78,229.7,38.3535045711798,39
2,劝君,34,74,320.7,37.118178983473655,40
2,白日,34,61,407.9,36.451581269919096,41
2,世间,34,63,433.7,36.30574129582661,42
2,平生,34,55,515.6,35.93948797517455,43
2,苦辛,34,60,519.2,35.92604006163328,44
2,壮士,34,54,571.6,35.749475157452764,45
2,君家,33,81,207.9,37.81000481000481,46
2,万事,33,76,215.2,37.646840148698885,47
2,昔时,33,83,248.0,37.03225806451613,48
2,昔日,33,76,258.6,36.866976024748645,49
2,从军,33,69,425.3,35.35128144838937,50
2,中原,33,60,520.4,34.921598770176786,51
2,所以,33,51,612.9,34.63158753467123,52
2,经过,32,82,163.0,38.13496932515338,53
2,白头,32,81,172.7,37.790387955993054,54
2,松柏,32,81,185.7,37.385029617662894,55
2,自古,32,70,277.4,35.604902667627975,56
2,山河,32,67,343.9,34.90782204129107,57
2,自言,32,71,390.5,34.56081946222791,58
2,骨肉,32,64,470.4,34.125850340136054,59
2,相逢,31,78,188.1,36.31632110579479,60
2,昨日,31,77,249.0,35.01606425702811,61
2,名利,31,74,340.2,33.93944738389183,62
2,思量,31,72,340.3,33.938583602703496,63
2,知己,31,63,458.0,33.18340611353712,64
2,公卿,31,56,461.2,33.16825672159584,65
